"data";"valor"
"01/01/2010";"3885846999836,84"
"01/01/2011";"4376381999853,76"
"01/01/2012";"4814759999634,49"
"01/01/2013";"5331618999627,08"
"01/01/2014";"5778953000008,59"
"01/01/2015";"5995786999726,30"
"01/01/2016";"6269328000659,18"
"01/01/2017";"6585479000139,78"
"01/01/2018";"7004140999893,37"
"01/01/2019";"7389130999453,28"
"01/01/2020";"7609597000575,82"
"01/01/2021";"9012141999284,48"
"01/01/2022";"10079676679176,00"
"01/01/2023";"10943344667905,00"
"01/01/2024";"11744710041818,70"
